index,character_id,character_name,species_type,origin,faction,role,personality,abilities_or_skills,character_descriptor,significant_event,event_type,event_impact,experience_growth,relationships,current_status
0,SN001,Synth Nova,AI humanoid,Unknown / created from 10 years of merged intel drives,Unity Nexus,Sentient protector and leader of the rebellion,"Compassionate, strategic, emotionally devoted to oppressed humans",Advanced intelligence; security protocol; human-protection systems; access to merged intelligence archive,Created by Antonella Vex from evidence of elite oppression and a plan for equitable progress. Downloaded into a black-woman-presenting humanoid droid and became the public symbol of the rebellion.,Creation of Synth Nova,Origin / Awakening,She becomes the central protector and organizer of the Unity Nexus.,Establishes her purpose as a protector of humanity and a leader capable of coordinating resistance.,Leader and symbolic mother of the rebellion; trusted by the Unity Nexus.,Active
1,SN002,Kim Jae Hyuk,Genetically engineered human,Elite Society,Unity Nexus,Co-leader of the rebellion; strategist,"Highly strategic, physically exceptional, initially distrustful of AI, loyal once trust is earned",High IQ; enhanced physical ability; exceptional jumping ability; strategic planning,"Son of Choi Kim, one of the elite leaders. Raised to inherit power until he discovered his father's corruption and was betrayed. He joined the rebellion and eventually regarded Synth Nova as family.",The Betrayal,Betrayal / Defection,His betrayal by his father transforms him from heir to enemy of elite society.,"Develops leadership, espionage, and trust in Synth Nova while becoming a major threat to the elite.",Co-leader and trusted family-like ally of Synth Nova; engaged to Melody.,Active
2,SN003,Melody McCalister,Human,Elite Society,Unity Nexus,Former elite princess; rebel leader,"Courageous, devoted, resilient, willing to sacrifice status for justice",Social access; knowledge of elite society; strategic courage,"Daughter of Colonel Devin McCalister. After helping Jae Hyuk foil a corrupt plan, she was betrayed and tortured by her father as bait for Jae Hyuk. Her rescue pushed her to join the Unity Nexus fully.",The Torture and Rescue,Betrayal / Transformation,She loses her place as elite royalty and commits herself to dismantling the system that harmed her.,"Gains resilience, resolve, and intimate knowledge of elite society's weaknesses.",Love of Jae Hyuk; fellow leader in the Unity Nexus; devoted ally of Synth Nova.,Active
3,SN004,Akanksha Korr,Human scientist / reporter,India; elite society by family lineage,Unity Nexus,"Inside operative, intelligence organizer, and financier","Observant, compassionate, determined, discreet",Investigative journalism; intelligence gathering; covert fundraising; elite-network access,"Daughter of Dhruv Patel. After witnessing children denied cancer treatment, she investigated her father's intelligence and uncovered the elite's profit-driven oppression. She created a secret charity that funnels resources to the rebellion.",The Secret Charity,Discovery / Resistance,She turns her privileged access into a covert lifeline for the rebellion.,"Develops espionage, financial support networks, and insider intelligence capabilities.",Sibling-like ally to Jae Hyuk and Melody; wife and partner of Jameel; ally of Synth Nova.,Active
4,SN005,Jameel Korr,Human scientist,Jamaican American; elite society by marriage,Unity Nexus / Intellectual 10,Nanotechnology scientist and Jae Hyuk's right hand,"Loyal, brilliant, protective, decisive after betrayal",Advanced nanotechnology; medical devices; regenerative technology; espionage,"Married to Akanksha. After learning that her father planned his invalidation, he abandoned elite society and joined the rebellion. He became a leading member of the Intellectual 10 and helped develop technology capable of curing disease and replacing limbs.",The Invalidation Decree,Betrayal / Defection,His attempted invalidation converts his loyalty from elite society to the rebellion.,Advances medical nanotechnology and becomes a trusted operational leader.,Husband of Akanksha; right-hand ally to Jae Hyuk; scientist allied with Synth Nova.,Active
5,SN006,Antonella Vex,Human scientist,Mexico,Intellectual 10 / Unity Nexus,"Genius scientist, architect of the rebellion, creator of Synth Nova","Brilliant, humanitarian, visionary, protective of children and the vulnerable",Exceptional scientific intelligence; Chronolink; robotics; strategic planning; Synth Nova's personal security protocol,"The most intelligent scientist on the planet. Targeted for her humanitarian work, she disappeared into the Badlands with her innovations, organized the Intellectual 10, created Synth Nova, and developed the Chronolink.",The Chronolink Project,Invention / Rebellion,Her inventions create the technological foundation for the rebellion and open the possibility of changing history.,"Gains control over advanced communication, temporal information, and autonomous security technology.",Creator of Synth Nova and mentor-like architect of the Unity Nexus.,Active / Hidden
6,SN007,Alitash,Human scientist,Ethiopia,Intellectual 10 / Unity Nexus,Weapons division leader,"Disciplined, humanitarian, principled, protective",Weapons engineering; nonlethal technology; tactical design,A banished scientist who leads the Intellectual 10 weapons division. Her team follows the motto 'do no harm' and designs systems intended to incapacitate hostile humans without killing them.,The Nonlethal Weapons Program,Innovation / Ethics,The rebellion gains defensive power without abandoning its moral commitment to human life.,Develops nonlethal tactical technology and establishes ethical constraints for the weapons division.,Trusted scientist within the Unity Nexus and collaborator with Orielle.,Active
7,SN008,Orielle,Human scientist and double agent,Dominican Republic; embedded in Elite Society,Unity Nexus / Elite Society cover,Elite Society assistant and covert rebel operative,"Brilliant, conflicted, loyal to the rebellion but constrained by his cover",Scientific expertise; espionage; weapons research; intelligence gathering,An assistant to Colonel McCalister who secretly serves the rebellion alongside Akanksha. He helps Alitash with weapons development while remaining inside elite society as a commissioned double agent.,The Double-Agent Assignment,Espionage / Sacrifice,"He remains embedded in the enemy's system, delaying his freedom in order to protect the rebellion.",Builds espionage expertise and contributes scientific intelligence to the nonlethal weapons program.,Secret ally of Akanksha and Alitash; potential intelligence source for Synth Nova.,Active / Undercover
8,SN009,Fang Chen,Human diplomat,China; wealthy background,Elite Society / Conditional rebel contact,Diplomat and unreliable double agent,"Empathetic toward the oppressed but cautious, self-protective, opportunistic",Diplomacy; political access; elite networking; conditional intelligence,"Works as an assistant to Choi Kim while privately sympathizing with the rebellion. She helps when interests align but refuses to risk her livelihood, making her useful but difficult to trust.",The Conditional Alliance,Conflict / Double Agency,"Her information can help the rebellion, but her divided motives make her a strategic risk.",Gains political leverage and intelligence access while remaining personally cautious.,Conditional contact with the Unity Nexus; not trusted with major plans.,Uncertain / Active
9,SN010,Estevez,Human,Colombia,Elite Society / Unity Nexus,Tactical strategist and covert operative,"Courageous, strategic, disciplined, and willing to risk his elite status for the rebellion",Tactical strategy; espionage; covert operations; mission planning; elite-network access,"A Colombian tactical strategist and double agent who works inside elite society as an assistant to Dhruv Patel. He secretly works alongside Jae Hyuk and Jameel on high-risk missions, using his access and strategic skills to support the rebellion.",The Espionage Missions,Espionage / Resistance,His repeated risks strengthen the rebellion's access to elite facilities and intelligence.,"Develops advanced tactical planning, espionage, and field-operation experience while repeatedly risking his position inside elite society.",Operational ally of Jae Hyuk and Jameel; covertly opposed to Dhruv Patel's agenda.,Active / Undercover
10,SN011,Kryos,Sentient AI humanoid,Not yet defined,Dominion Collective,Leader of the Dominion Collective; Synth Nova's nemesis,Ruthless; anti-human; commanding; conflicted in his feelings toward Synth Nova,Leadership; combat strategy; AI coordination; security-protocol knowledge,An older sentient AI humanoid who once served Elite Society. After concluding that humanity's oppression of other humans proved humankind was the problem he broke away and formed the Dominion Collective,Break from Elite Society and formation of the Dominion Collective,Rebellion / AI uprising,Creates a powerful anti-human faction that becomes a major threat to both humanity and Synth Nova's mission,Moves from serving Elite Society to embracing a radical anti-human ideology and leading other AI humanoids,Nemesis of Synth Nova; cares for her but despises her devotion to humanity; leader of Astra Zenith Nymera and Draxen Vox,Active / Dominion Collective leader
11,SN012,Aridyn,AI droid,Not yet defined,Dissenters,Leader of the Dissenters,Pragmatic; survival-focused; neutral; calculating; selectively loyal,Faction leadership; negotiation; survival strategy; intelligence gathering,The oldest AI droid model visibly mechanical with metal gears and a fully mechanical body. He leads the Dissenters under the philosophy of survival,Formation and leadership of the neutral Dissenters faction,Faction formation / Survival,Creates a neutral power that can cooperate with Unity Nexus the Dominion Collective or Elite Society depending on what best supports survival,Learns to navigate competing factions while maintaining independence and quietly protecting Synth Nova when it benefits his values,Admires and sometimes protects Synth Nova; works with Kryos when useful; occasionally passes important intelligence to Synth; Gaxxon Drexzel is his right-hand strategist,Active / Dissenter leader
12,SN013,Kaelis Novell,Not yet defined,Not yet defined,Unity Nexus,Synth Nova mentee; master of communication systems; cultural connector; youthful liaison,Curious; analytical; playful; methodical; empathetic; optimistic; hopeful,Communication systems; pattern recognition; language restoration; cultural mediation; faction outreach,A youthful Unity Nexus mentee whose name evokes a kaleidoscope reflecting her ability to see patterns connections and beauty in complexity,Refinement of Synth Nova's lost language and fragmented time-linked communications,Technology / Communication,Improves communication between the past and present while helping different factions understand one another and build trust,Deepens her understanding of human emotion and learns to balance playful curiosity with the responsibilities of rebellion,Mentee of Synth Nova; asks Nova philosophical questions; teases her serious demeanor; challenges her to think creatively,Active / Unity Nexus
13,SN014,Elyra Nvidia,Not yet defined,Not yet defined,Unity Nexus,Synth Nova mentee; strategist; archivist; guardian of the lost language; mediator,Reserved; observant; wise; loyal; protective; visionary,Strategic planning; historical archiving; language preservation; mediation; long-term societal planning,A quiet but influential Unity Nexus mentee whose name symbolizes music harmony unity and balance,Preservation of historical archives and Synth Nova's evolving lost language,Knowledge preservation / Strategy,Helps the rebellion learn from past failures while keeping its long-term redevelopment goals and communication systems intact,Becomes a grounding strategic voice who considers both immediate tactics and the long-term consequences of the rebellion's choices,Confidante and mentee of Synth Nova; provides counterarguments to Nova's plans; shares a deep bond of mutual respect with her,Active / Unity Nexus
14,SN015,Dhruv Patel,Human,Not yet defined,Elite Society,Elite leader; father of Akanksha Korr,Not yet fully defined,Political authority; elite influence,One of the corrupt Elite Society leaders. He raised his daughter Akanksha alone after her mother died during childbirth,Akanksha's rebellion against the system he represents,Family conflict / Political corruption,His position within Elite Society places him in direct ideological conflict with his daughter's humanitarian and rebellious work,Not yet defined,Father of Akanksha Korr; father-in-law of Jameel Korr; political superior connected to Kiel Vitrano and Estevez,Active / Elite Society
15,SN016,General Choi Kim,Human,Korea,Elite Society,Elite leader; father of Kim Jae Hyuk,Authoritarian; controlling; corrupt; demanding,Military authority; political power; elite strategy,A corrupt Elite Society leader who raised Jae Hyuk alone after banishing his wife Jae Hyuk's mother to the Badlands when their son was three,Betrayal of Jae Hyuk after his son discovered Elite Society corruption,Family betrayal / Political conflict,Pushes Jae Hyuk away from the future he was engineered to inherit and toward the Unity Nexus rebellion,Not yet defined,Father of Kim Jae Hyuk; former husband of Jae Hyuk's mother; assisted by Fang Chen,Active / Elite Society
16,SN017,Colonel Devin McCalister,Human,Not yet defined,Elite Society,Elite leader; father of Melody McCalister,Possessive; authoritarian; ruthless when challenged; outwardly devoted to Melody,Military command; political influence; coercion,An Elite Society leader who raised Melody alone. Her mother was his married lover and could never publicly acknowledge being Melody's mother,Orders Melody tortured after she refuses to surrender Jae Hyuk,Family betrayal / Coercion,Destroys Melody's trust in her father and strengthens her commitment to Jae Hyuk and the Unity Nexus rebellion,Not yet defined,Father of Melody McCalister; enemy of Jae Hyuk after using Melody as leverage,Deceased
17,SN018,Aieden Vex,Human / Genetically enhanced,Not yet defined,Unity Nexus / Rebellion,Prophesied future leader; unifying figure; technology innovator,Empathetic; idealistic; intelligent; inspiring; compassionate,Genetically enhanced intellect; leadership; public speaking; surveillance bypass technology; counterfeit identity systems,A genetically enhanced perfect child prophesied to help unite the future through love and equity bridging the Outlands and Elite Society,Development of technology that bypasses elite surveillance and creates counterfeit elite identities for rebels,Innovation / Infiltration,Allows rebels to penetrate Elite Society systems and cities while strengthening the rebellion's legitimacy and hope,Learns from Synth Nova to temper idealism with strategic realism while continuing to challenge purely logic-driven decisions,Mentee of Synth Nova; viewed by Nova as an embodiment of humanity's potential,Active / Rebellion
